"INSTNM","STABBR","ZIP","LOCALE","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"The College of Wooster","OH","44691",32,3,77,69,84
"Wright State University-Main Campus","OH","45435-0001",21,3,44,43,45
"Wright State University-Lake Campus","OH","45822-2952",41,3,33,30,35
"Xavier University","OH","45207-1092",11,3,75,70,79
"Youngstown State University","OH","44555-0001",13,3,47,44,50
"Bacone College","OK","74403-1597",32,6,7,5,14
"Oklahoma Wesleyan University","OK","74006-6299",32,6,33,23,49
"Southern Nazarene University","OK","73008",21,6,48,44,53
"Cameron University","OK","73505-6377",13,6,33,33,33
"University of Central Oklahoma","OK","73034",21,6,37,28,42
"East Central University","OK","74820-6999",33,6,31,24,38
"Randall University","OK","73160",21,6,17,9,28
"Langston University","OK","73050",42,6,29,20,34
"Spartan College of Aeronautics and Technology","OK","74115",11,6,100,100,
"Northeastern State University","OK","74464-2399",33,6,39,33,44
"Northwestern Oklahoma State University","OK","73717-2799",33,6,30,25,36
"Oklahoma Christian University","OK","73013",11,6,56,54,59
"Oklahoma Panhandle State University","OK","73939-0430",42,6,37,32,46
"Oklahoma State University-Main Campus","OK","74078-1015",32,6,66,62,69
"Oklahoma State University-Oklahoma City","OK","73107-6195",11,6,,,
"Oklahoma Baptist University","OK","74804",32,6,54,46,58
"Oklahoma City University","OK","73106-1402",11,6,65,59,68
"University of Oklahoma-Norman Campus","OK","73019-3072",22,6,76,72,79
"Oklahoma State University Institute of Technology","OK","74447-3901",32,6,,,
"Oral Roberts University","OK","74171",11,6,59,52,65
"Rogers State University","OK","74017-3252",31,6,34,26,40
"University of Science and Arts of Oklahoma","OK","73018-5322",32,6,39,20,47
"Southeastern Oklahoma State University","OK","74701-3347",32,6,30,28,32
"Southwestern Christian University","OK","73008",21,6,21,19,25
"Southwestern Oklahoma State University","OK","73096-3001",33,6,40,36,44
"University of Tulsa","OK","74104-3189",11,6,73,70,79
"Sumner College","OR","97220",11,8,,,
"Eastern Oregon University","OR","97850",33,8,38,35,41
"New Hope Christian College-Eugene","OR","97405",12,8,33,27,38
"George Fox University","OR","97132",31,8,69,65,73
"Lewis & Clark College","OR","97219-7899",11,8,74,72,75
"Linfield University-McMinnville Campus","OR","97128-6894",32,8,67,60,72
"Mount Angel Seminary","OR","97373",31,8,54,54,
"Multnomah University","OR","97220",11,8,55,54,57
"Bushnell University","OR","97401-3745",12,8,60,60,60
"Oregon Institute of Technology","OR","97601-8801",33,8,56,55,56
"Oregon State University","OR","97331",13,8,68,65,72
"University of Oregon","OR","97403",12,8,74,73,75
"Pacific Northwest College of Art","OR","97209-3404",11,8,36,33,36
"Pacific University","OR","97116",21,8,71,64,76
"Portland State University","OR","97201",11,8,54,48,57
"University of Portland","OR","97203-5798",11,8,81,77,83
"Reed College","OR","97202-8199",11,8,73,67,77
"Southern Oregon University","OR","97520",22,8,41,36,44
"Warner Pacific University","OR","97215",11,8,34,15,43
"Corban University","OR","97317-9392",12,8,64,55,68
"Willamette University","OR","97301",12,8,72,70,73
"Western Oregon University","OR","97361-1394",31,8,48,41,52
"Bryn Athyn College of the New Church","PA","19009-0717",21,2,39,38,39
"Albright College","PA","19612-5234",13,2,47,43,51
"Allegheny College","PA","16335-3902",32,2,75,70,79
"DeSales University","PA","18034-9568",41,2,69,68,70
"Alvernia University","PA","19607-1799",13,2,65,55,71
"Clarks Summit University","PA","18411-1250",21,2,43,38,48
"Arcadia University","PA","19038-3295",21,2,62,64,61
"Bloomsburg University of Pennsylvania","PA","17815",13,2,59,54,63
"Bryn Mawr College","PA","19010",21,2,87,,87
"Bucknell University","PA","17837",32,2,88,86,90
"Cabrini University","PA","19087-3698",21,2,52,53,52
"California University of Pennsylvania","PA","15419-1394",23,2,48,43,52
"Carlow University","PA","15213-3165",11,2,52,56,52
"Carnegie Mellon University","PA","15213-3890",11,2,93,91,95
"Cedar Crest College","PA","18104-6196",12,2,64,,64
"Central Penn College","PA","17093-0309",21,2,36,28,43
"Chatham University","PA","15232",11,2,63,48,68
"Chestnut Hill College","PA","19118-2693",11,2,63,53,70
"Cheyney University of Pennsylvania","PA","19319-0200",21,2,41,40,42
"Clarion University of Pennsylvania","PA","16214",33,2,58,49,62
"Curtis Institute of Music","PA","19103",11,2,89,89,90
"Delaware Valley University","PA","18901-2697",21,2,54,45,61
"Dickinson College","PA","17013-2896",13,2,82,79,85
"Drexel University","PA","19104",11,2,78,74,83
"Duquesne University","PA","15282",11,2,77,71,80
"East Stroudsburg University of Pennsylvania","PA","18301-2999",13,2,49,38,56
"Eastern University","PA","19087-3696",21,2,62,60,64
"Edinboro University of Pennsylvania","PA","16444-0001",31,2,50,46,53
"Elizabethtown College","PA","17022-2298",21,2,75,72,78
"Franklin and Marshall College","PA","17604-3003",13,2,83,80,85
"Gannon University","PA","16541-0001",13,2,65,58,70
"Geneva College","PA","15010-3599",21,2,70,67,74
"Gettysburg College","PA","17325",13,2,82,77,87
"Grove City College","PA","16127-2104",32,2,88,84,91
"Gwynedd Mercy University","PA","19437-0901",21,2,67,58,72
"Haverford College","PA","19041-1392",21,2,90,91,90
"Holy Family University","PA","19114-2009",11,2,56,50,58
"Hussian College-Philadelphia","PA","19130",11,2,74,88,64
"Immaculata University","PA","19345",21,2,69,63,72
"Indiana University of Pennsylvania-Main Campus","PA","15705-1098",32,2,57,50,61
"Juniata College","PA","16652-2196",32,2,76,74,77
"Keystone College","PA","18440-0200",21,2,45,53,41
"King's College","PA","18711-0801",13,2,67,61,74
"Kutztown University of Pennsylvania","PA","19530-0730",31,2,54,49,58
"La Roche University","PA","15237-5898",21,2,53,48,56
"La Salle University","PA","19141-1199",11,2,60,57,62
"Lackawanna College","PA","18509-3206",13,2,,,
"Lafayette College","PA","18042-1768",21,2,88,87,89
"Lancaster Bible College","PA","17601-5036",21,2,57,52,61
"Lebanon Valley College","PA","17003-1400",23,2,68,65,70
"Lehigh University","PA","18015",13,2,87,85,90
"Lincoln University","PA","19352-0999",21,2,49,43,52
"Lock Haven University","PA","17745-2390",32,2,54,48,59
"Lycoming College","PA","17701-5192",13,2,67,62,73
"Manor College","PA","19046-3399",21,2,,,
"Mansfield University of Pennsylvania","PA","16933",32,2,54,58,51
"Marywood University","PA","18509-1598",13,2,70,60,73
"Mercyhurst University","PA","16546",13,2,66,60,70
"Messiah University","PA","17055",21,2,77,78,76
"Millersville University of Pennsylvania","PA","17551-0302",21,2,57,53,59
"Misericordia University","PA","18612-1098",21,2,71,69,73
"Moore College of Art and Design","PA","19103-1179",11,2,57,,57
"Moravian University","PA","18018-6650",13,2,68,59,76
"Mount Aloysius College","PA","16630-1999",31,2,49,56,45
"Muhlenberg College","PA","18104",12,2,82,76,86
"Neumann University","PA","19014-1298",21,2,49,42,54
"Pennsylvania Institute of Technology","PA","19063-4098",21,2,,,
"Peirce College","PA","19102-4699",11,2,50,50,
"Pennsylvania Academy of the Fine Arts","PA","19102-1510",11,2,47,55,44
"Pennsylvania College of Art and Design","PA","17608-0059",13,2,58,54,60
"University of Pennsylvania","PA","19104-6303",11,2,96,95,98
"The University of the Arts","PA","19102-4901",11,2,68,67,68
"Cairn University-Langhorne","PA","19047-2990",21,2,61,57,65
"University of the Sciences","PA","19104-4495",11,2,77,77,78
"University of Pittsburgh-Bradford","PA","16701",33,2,38,41,36
"University of Pittsburgh-Greensburg","PA","15601-5860",21,2,34,29,40
"University of Pittsburgh-Johnstown","PA","15904",23,2,49,47,51
"University of Pittsburgh-Pittsburgh Campus","PA","15260",11,2,84,81,88
"Pittsburgh Technical College","PA","15071",41,2,,,
"Point Park University","PA","15222-1984",11,2,61,56,63
"Walnut Hill College","PA","19104",11,2,,,
"Robert Morris University","PA","15108-1189",21,2,65,61,69
