"INSTNM","STABBR","ZIP","OBEREG","GBA6RTT","GBA6RTM","GBA6RTW"
"Siena College","NY","12211-1462",2,77,76,78
"Skidmore College","NY","12866",2,84,84,83
"St. Joseph's University-New York","NY","11205-3688",2,71,68,72
"Saint John Fisher College","NY","14618-3597",2,73,69,76
"St. John's University-New York","NY","11439",2,68,64,71
"SUNY College of Technology at Alfred","NY","14802",2,43,40,51
"SUNY College of Technology at Canton","NY","13617-1098",2,44,40,48
"SUNY College of Technology at Delhi","NY","13753-1100",2,49,42,61
"SUNY College of Agriculture and Technology at Cobleskill","NY","12043",2,47,39,53
"Farmingdale State College","NY","11735-1021",2,52,50,56
"SUNY Morrisville","NY","13408",2,34,34,34
"SUNY at Albany","NY","12222",2,66,62,71
"Binghamton University","NY","13850-6000",2,84,81,87
"University at Buffalo","NY","14260-1660",2,74,69,81
"Stony Brook University","NY","11794-0701",2,78,75,81
"SUNY College of Environmental Science and Forestry","NY","13210",2,75,75,75
"SUNY Polytechnic Institute","NY","13502",2,65,63,72
"SUNY Brockport","NY","14420-2919",2,63,59,66
"SUNY Buffalo State","NY","14222",2,41,36,45
"SUNY Cortland","NY","13045-0900",2,65,56,72
"SUNY at Fredonia","NY","14063-1136",2,62,54,67
"SUNY College at Geneseo","NY","14454-1465",2,76,70,80
"State University of New York at New Paltz","NY","12561-2443",2,73,68,76
"SUNY Oneonta","NY","13820-4015",2,74,66,78
"SUNY College at Oswego","NY","13126",2,66,63,70
"SUNY College at Potsdam","NY","13676-2294",2,50,45,53
"SUNY at Purchase College","NY","10577-1400",2,63,58,67
"SUNY College at Old Westbury","NY","11568-0210",2,48,34,58
"SUNY College at Plattsburgh","NY","12901-2681",2,65,58,69
"SUNY Empire State College","NY","12866-4391",2,18,22,15
"SUNY Maritime College","NY","10465-4198",2,74,74,76
"Syracuse University","NY","13244",2,82,78,87
"Talmudical Seminary Oholei Torah","NY","11213",2,5,5,
"Torah Temimah Talmudical Seminary","NY","10312",2,10,10,
"Touro College","NY","10036",2,70,64,72
"Trocaire College","NY","14220-2094",2,,,
"Union College","NY","12308-2311",2,85,84,85
"United Talmudical Seminary","NY","11211",2,51,51,
"United States Merchant Marine Academy","NY","11024-1634",0,81,82,78
"United States Military Academy","NY","10996-1905",0,84,83,84
"Utica University","NY","13502-4892",2,60,51,68
"Vassar College","NY","12604",2,93,92,93
"Villa Maria College","NY","14225-3999",2,35,34,35
"School of Visual Arts","NY","10010",2,74,65,77
"Wagner College","NY","10301-4495",2,70,57,77
"Webb Institute","NY","11542-1398",2,77,74,86
"Wells College","NY","13026-0500",2,55,53,56
